広告枠名,条件,予算
有料超目玉,"　※　割引率20%OFF以上(型番は10％以上)、二重価格必須                
　※　販売期間設定必須                
   ※　 URL重複NG枠。当選商品は同一URLで通常広告の掲載できなくなりますのでご注意ください                
　※　1店舗最大5商品まで                
　※　本枠は、送料込み　の商品のみが対象                
　※　本枠は、上代文言【　当店通常価格　】のみ可。メーカー希望小売価格不可                
　※   レビュー4点以上/10件以上必須(ド型番のみレビューなし応相談）                
　※　値引き後完売流通50万を超える商品（在庫100個以上推奨）                
　※　買いまわり対象になるよう、イベント時価格が1,000円以上必須                
　※　枠名に記載がある時間以外で、同一商品を同一価格、もしくは安値で販売することは禁止としております。                
　※   在庫は１日に配送作業可能な数で在庫数申請・設定をお願いします。                
　※　ブランドノベルティ商品は掲載不可                
　※　空欄等不備がある場合はエントリーを無効とさせていただきます。                
　※　リンクエラーは見分け対象外となります。                
　※　与信NGの場合は計上不可                ","5の倍数の日/初日20時～枠：14万
それ以外：10万                                                        "
大特価SALE枠,"　※　割引率20%OFF以上、二重価格必須					
　※　販売期間設定必須					
   ※　 URL重複NG枠。当選商品は同一URLでイベント広告の掲載できなくなりますのでご注意ください					
　※　1店舗最大5商品まで					
　※　本枠は、送料込み　の商品のみが対象					
　※　本枠は、上代文言【　当店通常価格　】のみ可。メーカー希望小売価格不可					
　※   レビュー4点以上必須(ド型番のみレビューなし応相談）					
　※　値引き後完売流通50万を超える商品（在庫100個以上推奨）					
　※　買いまわり対象になるよう、イベント時価格が1,000円以上必須					
　※　枠名に記載がある時間以外で、同一商品を同一価格、もしくは安値で販売することは禁止としております。					
　※   在庫は１日に配送作業可能な数で在庫数申請・設定をお願いします。					
　※　ブランドノベルティ商品は掲載不可					
　※　空欄等不備がある場合はエントリーを無効とさせていただきます。					
　※　リンクエラーは見分け対象外となります。					
　※　与信NGの場合は計上不可					",価格:18万
24時間限定！50%以上割引セール,"　※　割引率50%OFF以上、二重価格必須					
　※　販売期間設定必須					
   ※　 URL重複NG枠。当選商品は同一URLでイベント広告の掲載できなくなりますのでご注意ください					
　※　1店舗最大5商品まで					
　※　本枠は、送料込み　の商品のみが対象					
　※　本枠は、上代文言【　当店通常価格　】のみ可。メーカー希望小売価格不可					
　※   レビュー4点以上必須(ド型番のみレビューなし応相談）					
　※　値引き後完売流通50万を超える商品（在庫100個以上推奨）					
　※　買いまわり対象になるよう、イベント時価格が1,000円以上必須					
　※　枠名に記載がある時間以外で、同一商品を同一価格、もしくは安値で販売することは禁止としております。					
　※   在庫は１日に配送作業可能な数で在庫数申請・設定をお願いします。					
　※　ブランドノベルティ商品は掲載不可					
　※　空欄等不備がある場合はエントリーを無効とさせていただきます。					
　※　リンクエラーは見分け対象外となります。					
　※　事前掲載有り。販売期間はメディアガイド記載の期間に設定をお願いします。					
　※　与信NGの場合は計上不可					
",価格：22.5万円
"24時間限定！2,500円以上割引セール
","　※　割引率10%OFF以上かつ割引額2,500円以上、二重価格必須	
　※　販売期間設定必須	
   ※　 URL重複NG枠。当選商品は同一URLでイベント広告の掲載できなくなりますのでご注意ください	
　※　1店舗最大5商品まで	
　※　本枠は、送料込み　の商品のみが対象	
　※　本枠は、上代文言【　当店通常価格　】のみ可。メーカー希望小売価格不可	
　※　元値5,000円以上の「当店通常価格」のみ。	
　※   レビュー4点以上必須(ド型番のみレビューなし応相談）	
　※　値引き後完売流通50万を超える商品（在庫100個以上推奨）	
　※　買いまわり対象になるよう、イベント時価格が1,000円以上必須	
　※　枠名に記載がある時間以外で、同一商品を同一価格、もしくは安値で販売することは禁止としております。	
　※   在庫は１日に配送作業可能な数で在庫数申請・設定をお願いします。	
　※　ブランドノベルティ商品は掲載不可	
　※　空欄等不備がある場合はエントリーを無効とさせていただきます。	
　※　リンクエラーは見分け対象外となります。	
　※　与信NGの場合は計上不可	","価格：14万円
"
"ラストSALE枠","　※　二重価格必須
　※　販売期間設定必須
   ※　 URL重複NG枠。当選商品は同一URLで通常広告の掲載できなくなりますのでご注意ください
　※　1店舗最大5商品まで
　※　本枠は、送料込み　の商品のみが対象
　※　本枠は、上代文言【　当店通常価格　】のみ可。メーカー希望小売価格不可
　※   レビュー4点以上必須/件数不問　(型番のみレビューなし可）
　※　値引き後完売流通50万を超える商品（在庫100個以上推奨）
　※　買いまわり対象になるよう、イベント時価格が1,000円以上必須
　※　枠名に記載がある時間以外で、同一商品を同一価格、もしくは安値で販売することは禁止としております。
　※   在庫は１日に配送作業可能な数で在庫数申請・設定をお願いします。
　※　ブランドノベルティ商品は掲載不可
　※　空欄等不備がある場合はエントリーを無効とさせていただきます。
　※　リンクエラーは見分け対象外となります。
　※　事前掲載有り。販売期間はメディアガイド記載の期間に設定をお願いします。
　※　与信NGの場合は計上不可
","50％OFF基本：17万　20⁻49％：9万
"
"ジャンル目玉枠エントリー※有料枠※
","　※　割引率20%OFF以上(型番は10％以上)、二重価格必須	
　※　販売期間設定必須	
   ※　 URL重複NG枠。当選商品は同一URLでイベント広告の掲載できなくなりますのでご注意ください	
　※　1店舗1ジャンル1枠まで	
　※　本枠は、送料込み　の商品のみが対象	
　※　本枠は、上代文言【　当店通常価格　】のみ可。メーカー希望小売価格不可	
　※   レビュー4点以上/10件以上必須(ド型番のみレビューなし応相談）	
　※　値引き後完売流通50万を超える商品（在庫100個以上推奨）	
　※　買いまわり対象になるよう、イベント時価格が1,000円以上必須	
　※　枠名に記載がある時間以外で、同一商品を同一価格、もしくは安値で販売することは禁止としております。	
　※   在庫は１日に配送作業可能な数で在庫数申請・設定をお願いします。	
　※　ブランドノベルティ商品は掲載不可	
　※　空欄等不備がある場合はエントリーを無効とさせていただきます。	
　※　リンクエラーは見分け対象外となります。	
　※　ショップジャンルに関わらず、ご入稿商品の「商品登録ジャンル」を審査します。サーチ非表示設定は解除して下さい。	
　※　商品ディレクトリ確認リンク：https://www.rakuten.co.jp/com/inc/rms/navi/directory.html	
　※　与信NGの場合は計上不可	",食品・スイーツ・ドリンク・お酒：目玉枠　15万円
"パーソナライズ目玉枠エントリー※有料枠※
","　※　割引率20%OFF以上(型番は10％以上)、二重価格必須
　※　販売期間設定必須
   ※　 URL重複NG枠。当選商品は同一URLでイベント広告の掲載できなくなりますのでご注意ください
　※　1店舗1ジャンル1枠まで
　※　本枠は、送料込み　の商品のみが対象
　※　本枠は、上代文言【　当店通常価格　】のみ可。メーカー希望小売価格不可
　※   レビュー4点以上/10件以上必須(ド型番のみレビューなし応相談）
　※　値引き後完売流通50万を超える商品（在庫100個以上推奨）
　※　買いまわり対象になるよう、イベント時価格が1,000円以上必須
　※　枠名に記載がある時間以外で、同一商品を同一価格、もしくは安値で販売することは禁止としております。
　※   在庫は１日に配送作業可能な数で在庫数申請・設定をお願いします。
　※　ブランドノベルティ商品は掲載不可
　※　空欄等不備がある場合はエントリーを無効とさせていただきます。
　※　リンクエラーは見分け対象外となります。
　※　ショップジャンルに関わらず、ご入稿商品の「商品登録ジャンル」を審査します。サーチ非表示設定は解除して下さい。
　※　商品ディレクトリ確認リンク：https://www.rakuten.co.jp/com/inc/rms/navi/directory.html
　※　与信NGの場合は計上不可
","パーソナライズ表示：インテリア・寝具・収納：目玉枠：PC＆スマートフォン　8月4日開始分(掲載期間：8月4日20:00～8月11日01:59)         80,000円
パーソナライズ表示：キッズ・ベビー・おもちゃ：目玉枠：PC＆スマートフォン　8月4日開始分(掲載期間：8月4日20:00～8月11日01:59)         100,000円 
パーソナライズ表示：メンズファッション・バッグ・小物・腕時計・アクセサリー：目玉枠：男性用商品のみ：PC＆スマートフォン　8月4日開始分(掲載期間：8月4日20:00～8月11日01:59)         120,000円 
パーソナライズ表示：レディースファッション・バッグ・小物・腕時計・アクセサリー：目玉枠：女性用商品のみ：PC＆スマートフォン　8月4日開始分(掲載期間：8月4日20:00～8月11日01:59)         150,000円 
パーソナライズ表示：家電・パソコン・スマートフォン・スポーツ・ホビー・車用品：目玉枠：PC＆スマートフォン　8月4日開始分(掲載期間：8月4日20:00～8月11日01:59)         80,000円 
パーソナライズ表示：美容・健康・医薬品・コンタクト：目玉枠：PC＆スマートフォン　8月4日開始分(掲載期間：8月4日20:00～8月11日01:59)         100,000円 
パーソナライズ表示：日用品雑貨・キッチン・文房具・手芸枠・ペット用品・花・ガーデン：目玉枠：PC＆スマートフォン　8月4日開始分(掲載期間：8月4日20:00～8月11日01:59)         80,000円 
"
"予約販売(有料)枠","※  予約かご必須＝ライトプランの店舗様エントリー不可
　※　割引率20%OFF以上(型番は10％以上)、二重価格必須
　※　販売期間設定必須
   ※　 URL重複NG枠。当選商品は同一URLでイベント広告の掲載できなくなりますのでご注意ください
　※　1店舗最大2商品まで
　※　本枠は、送料込み　の商品のみが対象
　※　本枠は、上代文言【　当店通常価格　】のみ可。メーカー希望小売価格不可
　※   レビュー4点以上/10件以上必須(ド型番のみレビューなし応相談）
　※　値引き後完売流通(値引き後価格×在庫数)300万を超える商品
　※　買いまわり対象になるよう、イベント時価格が1,000円以上必須
　※　枠名に記載がある時間以外で、同一商品を同一価格、もしくは安値で販売することは禁止としております。
　※   在庫は１日に配送作業可能な数で在庫数申請・設定をお願いします。
　※　ブランドノベルティ商品は掲載不可
　※　空欄等不備がある場合はエントリーを無効とさせていただきます。
　※　リンクエラーは見分け対象外となります。
　※ 　審査スケジュールが大変タイトな枠です。審査フォローにご協力をお願いいたします。
　※　与信NGの場合は計上不可
",価格：15万円
TOP・下層ページ共通ナビ：縦長大バナー枠：PC 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥40,000"
TOP・下層ページ共通フッタ：厳選アイテムバナー枠(前半)：PC&スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月7日09:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥1,360,000"
TOP・下層ページ共通フッタ：お得なキャンペーン枠(前半)：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月7日09:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥530,000"
TOP・下層ページ共通フッタ：おすすめアイテムバナー枠(前半)：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月7日09:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥750,000"
14時間掲載・注目ピックアップ枠：最上部セール枠：PC＆スマートフォン 3月4日開始分(お買い物かご設定時間：3月4日20:00～3月5日09:59),"【入稿URL指定 】　
商品指定
【価格チェック】　
有
【販売期間】　
完全一致
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥230,000"
14時間掲載・注目ピックアップ枠：上部枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月5日09:59),"【入稿URL指定 】　
商品指定
【価格チェック】　
有
【販売期間】　
完全一致
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥170,000"
14時間掲載・注目ピックアップ枠：基本枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月5日09:59),"【入稿URL指定 】　
商品指定
【価格チェック】　
有
【販売期間】　
完全一致
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥50,000"
送料無料ポイント20倍アイテム枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
完全一致
【販売価格指定or
 値引きorポイント】　
ポイント20倍
【クーポン有効期間】　
無
【値引き率】　
任意","¥100,000"
会員ランク別ポイント優待キャンペーン(店内全品対象・会員ランク別変倍のみ)：上部枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
会員ランク別ポイント設定
【クーポン有効期間】　
無
【値引き率】　
任意","¥100,000"
会員ランク別ポイント優待キャンペーン(店内全品対象・会員ランク別変倍のみ)：基本枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
会員ランク別ポイント設定
【クーポン有効期間】　
無
【値引き率】　
任意","¥40,000"
インテリア・キッチン・日用品・ペット用品・花・ガーデン：基本枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥70,000"
キッズ・ベビー・おもちゃ：基本枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥100,000"
メンズファッション・バッグ・小物・腕時計・アクセサリー：男性用商品のみ：基本枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥80,000"
レディースファッション・バッグ・小物・腕時計・アクセサリー：女性用商品のみ：基本枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥120,000"
家電・パソコン・スマートフォン・スポーツ・ホビー・車用品：基本枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥80,000"
食品・スイーツ・ドリンク・お酒：基本枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥160,000"
美容・健康・医薬品・コンタクト：基本枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥120,000"
パーソナライズ表示：春を楽しむアイテム：インテリア・キッチン・日用品・収納・寝具・ベッドマットレスジャンル枠(前半)：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月7日09:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥240,000"
パーソナライズ表示：春を楽しむアイテム：食品・ドリンク・お酒ジャンル枠(前半)：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月7日09:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥310,000"
パーソナライズ表示：春を楽しむアイテム：美容・コスメ・ダイエット・健康・コンタクトジャンル枠(前半)：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月7日09:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥190,000"
パーソナライズ表示：春を楽しむアイテム：ファッション・インナー・ファッション小物枠(前半)：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月7日09:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥200,000"
パーソナライズ表示：春を楽しむアイテム：家電・スポーツ・ゲーム・ホビージャンル枠(前半)：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月7日09:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥120,000"
"送料無料1,000円ポッキリアイテム(ファッションジャンル)枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59)","【入稿URL指定 】　
商品指定
【価格チェック】　
有
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
1000円送料無料
【クーポン有効期間】　
無
【値引き率】　
任意","¥100,000"
"送料無料2,000円以下お手頃グルメ枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59)","【入稿URL指定 】　
商品指定
【価格チェック】　
有
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
1001~1999円送料無料
【クーポン有効期間】　
無
【値引き率】　
任意","¥100,000"
レビュー4.0以上高評価グルメ枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
商品指定
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
レビュー4以上
【クーポン有効期間】　
無
【値引き率】　
任意","¥120,000"
訳あり・おためし・送料無料グルメ枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
商品指定
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
送料無料
【クーポン有効期間】　
無
【値引き率】　
任意","¥180,000"
訳あり・おためし・送料無料アイテム(グルメジャンル以外)枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
商品指定
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
送料無料
【クーポン有効期間】　
無
【値引き率】　
任意","¥30,000"
在庫処分市枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月5日09:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥140,000"
