広告枠,商品,ジャンル,商品概要,理由
"ラストSALE枠",肉の福袋最大2.5kg,,,"掲載日が10日になり「5と0のつく日イベントのポイントup企画」で楽天市場も盛り上がります。
マラソン期間最終日で楽天TOP導線も現状は担保されており集客が見込める枠に対して
5,998円から50％OFFの2,999円で販売し、商品としては選べる楽しさと最大2.5kgというボリューム感のある商品で衝動買いを促すことができたから。着地CPC48円。ROAS528％"
対象アイテム限定最大半額クーポン：上部枠(50％OFFクーポン)：PC＆スマートフォン,ずわいがにポーション1kg,,,"蟹の市場が盛り上がっているタイミングで半額設計で蟹を売っている店舗や商品がなく、
新しい試みとして半額設計で実施し、お得が大好きな楽天ユーザーに対してトレンド商品をアプローチできたから。"
大特価SALE枠,丼の具8種30食,,,"大特価枠は枠名のとおりお得が大好きなユーザーが多く流入してきます。
楽天の中でも「松屋」が牛丼30食などで成功していますがそういった競合に勝てるように8種で30食など見せ方を変えて
さらに半額設計でアプローチができたから"
"送料無料1,000円ポッキリグルメ枠：基本枠：PC＆スマートフォン",蜜焼芋,,,"200g×2袋で1000円送料無料で商品スペックとしては高く、楽天のイベントは1000円以上での買い回りでポイントUPになり、
1000円の商品を探しているユーザーに対してお得感を演出できたから。"
24時間限定！50%以上割引セール,ハンバーグ10個入,,,"通常ハンバーグ10個入5,980円→3,980円の2,000円OFFの訴求。
楽天市場の新枠ということもあり掲載位置優遇されており着地CPC22円。ROAS1077％"
訳あり・おためし・送料無料グルメ枠：PC＆スマートフォン,牛タンブロックガチャ,,,ROAS 533%。売れ筋の牛タンをクーポンで半額で掲載したところ、衝動買いを誘えたから。
ラスト5時間・50％OFFセール(指定商品対象)：基本枠：PC＆スマートフォン,アジフライ1kg,,,半額訴求で衝動買いを誘い、本番期間に向けて事前に店舗内各所へ告知バナーを設置した。
25日限定・お得にお買い物クーポン：基本枠：PC＆スマートフォン　6月25日開始分(掲載期間：6月25日00:00～23:59),店内全品,,,"楽天市場が盛り上がる5,0のつく日に店内全品クーポンで半額設計で衝動買いを誘ったから。精肉ジャンルでは次々と半額設計のプレイヤーが出てきている中
うし釜においても半額が刺さるかのテストの意味も込めて投入。ROAS 364%"
対象アイテム限定最大半額クーポン：上部枠(50％OFFクーポン)：PC＆スマートフォン,そうめん500g,,,そうめん需要が高まってきた時期に入稿したため枠との相性がよかった。大容量訴求とつゆ付きというおまけ施策もしたため転換につながりやすかった。ROAS520.67%
超目玉枠：PC＆スマートフォン,選べる満足セット（切り落とし・焼豚・ソーセージ）,,,"ROAS379.40 %。半額以下訴求で衝動買いにつながりやすかった。
"